,image,score,features
39,/home/ubuntu/MEBeauty-database/images/female/caucasian/woman-1373041_1280.jpg,3.0082417582417587,[[1.31185748 1.21022303 5.90354166 ... 2.48415669 1.04769091 1.31252882]]
40,/home/ubuntu/MEBeauty-database/images/female/hispanic/juan-encalada-vIM0htb0gJs-unsplash.jpg,3.009090909090909,[[1.38392972 1.28140659 5.70671314 ... 3.15949335 1.34160133 1.53014784]]
41,/home/ubuntu/MEBeauty-database/images/male/indian/people-3231960_1920.jpg,3.0302795031055902,[[0.93844772 0.95465346 6.4822966  ... 3.22895031 0.86941495 1.0401323 ]]
42,/home/ubuntu/MEBeauty-database/images/male/asian/capturing-the-human-heart-i9uIhSlOWYc-unsplash.jpg,3.0355525362318843,[[1.00648455 1.0124215  6.05056989 ... 5.74422396 0.95829184 1.05985266]]
43,/home/ubuntu/MEBeauty-database/images/female/mideastern/yogendra-singh-AlpBsZF_uXM-unsplash.jpg,3.0722222222222215,[[1.51762288 1.32233029 5.54963018 ... 1.62243039 1.29762826 1.46022084]]
44,/home/ubuntu/MEBeauty-database/images/female/indian/indian-woman-5092871_1920.jpg,3.0960219478738,[[1.23109694 1.16506582 6.15119368 ... 4.76111702 1.3190339  1.49680469]]
45,/home/ubuntu/MEBeauty-database/images/female/mideastern/pexels-italo-melo-1786258.jpg,3.111111111111111,[[0.84492118 0.9051563  5.18272979 ... 3.45081512 0.79483931 0.87070279]]
46,/home/ubuntu/MEBeauty-database/images/female/hispanic/pexels-lola-russian-1855582.jpg,3.1234567901234573,[[0.73073435 0.80879944 6.26009325 ... 2.57951381 0.81042006 0.96220934]]
47,/home/ubuntu/MEBeauty-database/images/male/caucasian/nathan-dumlao-ger61_TX6oI-unsplash.jpg,3.140507246376812,[[1.02565563 1.01873109 6.49886521 ... 3.63192773 0.95588744 1.12626171]]
48,/home/ubuntu/MEBeauty-database/images/male/mideastern/katie-moum-yXfdoI66AtQ-unsplash.jpg,3.164811379097093,[[0.8197798  0.86350482 6.86226056 ... 5.55918109 0.87628783 0.94637466]]
49,/home/ubuntu/MEBeauty-database/images/male/asian/igor-figueredo-WZhygX_blqg-unsplash.jpg,3.1687460617517327,[[1.27225256 1.18276806 5.37206157 ... 2.98286378 1.10988116 1.36964197]]
50,/home/ubuntu/MEBeauty-database/images/female/caucasian/anton-darius-NaV1BloVk0g-unsplash.jpg,3.175,[[1.04836371 1.03020225 5.51874005 ... 5.64828418 0.91717139 1.01915133]]
51,/home/ubuntu/MEBeauty-database/images/male/mideastern/ashwini-chaudhary-fvm4bFVK7qM-unsplash.jpg,3.182070035460993,[[1.67412306 1.50533311 9.3491645  ... 5.17564782 1.70199335 1.62227146]]
52,/home/ubuntu/MEBeauty-database/images/female/caucasian/fran-hogan-0vyvnOH-LVQ-unsplash.jpg,3.19,[[1.04431989 1.02937829 4.60193196 ... 3.55452042 0.86088536 1.15001793]]
53,/home/ubuntu/MEBeauty-database/images/female/caucasian/grandmother-5903707_1920.jpg,3.2222222222222223,[[1.01684799 1.01669632 6.11129767 ... 3.00080118 1.1258662  1.44301251]]
54,/home/ubuntu/MEBeauty-database/images/male/caucasian/jd-mason-13_7xGYBb7c-unsplash.jpg,3.238122448979592,[[1.11959682 1.07267355 5.30195232 ... 8.36864314 1.03670361 0.9919566 ]]
55,/home/ubuntu/MEBeauty-database/images/female/caucasian/kim-jones-EcldzGBAB0A-unsplash.jpg,3.2409693644261544,[[0.65185706 0.74130595 5.8505722  ... 6.57000761 0.54598542 0.52330698]]
56,/home/ubuntu/MEBeauty-database/images/male/mideastern/mile-modic-Sv9xCQ7RBCs-unsplash.jpg,3.2471655328798184,[[1.77143067 1.50726843 6.55603931 ... 5.93711692 1.76179291 2.13909643]]
57,/home/ubuntu/MEBeauty-database/images/male/asian/raphiell-alfaridzy-ME-7JcPzt80-unsplash.jpg,3.25,[[0.71560652 0.78433533 6.48470795 ... 3.01349021 0.71352306 0.68882888]]
58,/home/ubuntu/MEBeauty-database/images/female/black/pexels-noa-photography-4364604.jpg,3.2592592592592586,[[1.07093246 1.05320465 6.51760627 ... 2.99446813 1.06892946 1.14156843]]
59,/home/ubuntu/MEBeauty-database/images/male/black/timothy-barlin-2BJwlRZaR5M-unsplash.jpg,3.273556644880174,[[0.9234951  0.95010072 5.95101607 ... 2.79602182 0.91851738 1.0055801 ]]
60,/home/ubuntu/MEBeauty-database/images/male/mideastern/paola-aguilar-LkQHGSVzfsk-unsplash.jpg,3.283208020050125,[[1.06289293 1.04176834 5.58996612 ... 4.36947453 1.05045146 1.24343539]]
61,/home/ubuntu/MEBeauty-database/images/female/caucasian/woman-1393311_1920.jpg,3.2901307966706304,[[0.7302818  0.80698626 5.07163754 ... 3.682982   0.62048102 0.61910307]]
62,/home/ubuntu/MEBeauty-database/images/male/caucasian/angelo-abear-l1AXPSU_W9M-unsplash.jpg,3.304920304920305,[[0.94114742 0.95632658 7.29861708 ... 3.96504729 0.87611933 0.99673797]]
63,/home/ubuntu/MEBeauty-database/images/female/caucasian/cristian-newman-l9I93gZKTG4-unsplash.jpg,3.315,[[0.87586986 0.90179516 6.88323956 ... 6.473802   0.97275856 0.92718144]]
64,/home/ubuntu/MEBeauty-database/images/female/caucasian/pexels-anna-shvets-4971982.jpg,3.333333333333333,[[0.57550864 0.70530981 4.57634713 ... 2.36973648 0.55280317 0.62577153]]
65,/home/ubuntu/MEBeauty-database/images/male/asian/niklas-veenhuis-wMlBf99Uyss-unsplash.jpg,3.340958605664488,[[0.76801972 0.84852273 4.30225917 ... 3.49721355 0.58952165 0.76011695]]
66,/home/ubuntu/MEBeauty-database/images/male/black/steward-masweneng-IvaGYGAX3jI-unsplash.jpg,3.35,[[1.19331142 1.11761897 4.97660308 ... 2.8587331  1.15307622 1.24049063]]
67,/home/ubuntu/MEBeauty-database/images/male/caucasian/john-torcasio-1coR0hGFenQ-unsplash.jpg,3.360521235521236,[[0.53218343 0.6841201  4.16224991 ... 3.73414687 0.50644308 0.60723911]]
68,/home/ubuntu/MEBeauty-database/images/male/hispanic/national-cancer-institute-NNpo-liY5aU-unsplash.jpg,3.3636363636363638,[[0.67264408 0.72983084 9.38362413 ... 3.64265913 0.45810871 0.64256978]]
69,/home/ubuntu/MEBeauty-database/images/female/black/woman-5939698_1920.jpg,3.375,[[1.29921498 1.1913289  5.1259239  ... 1.672846   1.22986824 1.15412304]]
70,/home/ubuntu/MEBeauty-database/images/male/mideastern/aleksandar-popovski-Jy4ELSGPHTc-unsplash.jpg,3.3936170212765964,[[1.04192409 1.02719922 5.00166062 ... 4.93318724 1.04635736 1.08001114]]
71,/home/ubuntu/MEBeauty-database/images/male/caucasian/patricia-prudente-__LnEJsm7ns-unsplash.jpg,3.406758448060075,[[0.89268612 0.92972464 5.3922551  ... 4.12606232 0.84244375 0.94208492]]
72,/home/ubuntu/MEBeauty-database/images/male/indian/people-2456350_1920.jpg,3.41624895572264,[[1.03017518 1.02635268 8.09051044 ... 4.62297329 0.88753215 1.05266714]]
73,/home/ubuntu/MEBeauty-database/images/female/black/ebony-1643426_1920.jpg,3.4267939814814814,[[1.08023086 1.05231656 4.89854277 ... 3.26431275 0.96212041 1.27585647]]
74,/home/ubuntu/MEBeauty-database/images/male/mideastern/luca-anasta-JMNXb6KBJwI-unsplash.jpg,3.4427179962894248,"[[ 1.47918636  1.39078367 10.58012562 ...  2.9183537   1.42720191
   1.51450207]]"
75,/home/ubuntu/MEBeauty-database/images/male/asian/pexels-zorro-zombie-1261998.jpg,3.4444444444444438,[[1.79734668 1.53358907 6.61711593 ... 2.38766864 1.54168324 1.66507508]]
76,/home/ubuntu/MEBeauty-database/images/male/asian/pexels-padli-pradana-3751857.jpg,3.4444444444444438,"[[ 0.29144097  0.37555354 10.79732336 ...  1.45638569  0.39620581
   0.49990547]]"
77,/home/ubuntu/MEBeauty-database/images/female/black/pexels-cottonbro-4505450.jpg,3.4444444444444438,[[1.12583502 1.07405755 3.83426767 ... 2.63437895 1.17038882 1.14545579]]
78,/home/ubuntu/MEBeauty-database/images/male/asian/ash-edmonds-AxtUIbOIPBE-unsplash.jpg,3.4444444444444446,[[0.91344904 0.93457851 5.06396378 ... 2.16112891 0.86421094 0.77923181]]
79,/home/ubuntu/MEBeauty-database/images/female/hispanic/marisol-casben-PbwKSCq9aVo-unsplash.jpg,3.4444444444444446,[[1.90060098 1.66255936 9.09938453 ... 2.95657564 2.25485049 2.47974526]]
80,/home/ubuntu/MEBeauty-database/images/male/asian/lex-faure-u4yvBG2wU30-unsplash.jpg,3.4546070460704614,[[0.90000854 0.93994865 3.78211164 ... 7.56419071 0.848311   0.94099918]]
81,/home/ubuntu/MEBeauty-database/images/male/indian/ashkan-forouzani-YlAp3Y7VUmA-unsplash.jpg,3.456702898550725,"[[ 0.9626035   0.97505175 10.3602976  ...  3.28222074  1.01578556
   1.13938603]]"
82,/home/ubuntu/MEBeauty-database/images/male/caucasian/man-4220914_1920.jpg,3.4772946859903375,[[1.25073745 1.16031199 5.0645749  ... 2.98772284 1.17678862 1.29607328]]
83,/home/ubuntu/MEBeauty-database/images/male/mideastern/ashkan-forouzani-YzsFkMBMhoQ-unsplash.jpg,3.485290404040404,[[1.25968105 1.18631947 7.06368824 ... 4.88235294 1.25870294 1.32259187]]
84,/home/ubuntu/MEBeauty-database/images/female/caucasian/rad-pozniakov-J-fH2bKQQIA-unsplash.jpg,3.4855769230769234,[[0.9503878  0.95952836 5.51649624 ... 4.85122935 1.1987561  1.14379103]]
85,/home/ubuntu/MEBeauty-database/images/male/mideastern/ashkan-forouzani-dz0C0Zv5QvM-unsplash(1).jpg,3.5029761904761907,[[1.06796652 1.05086704 7.18890311 ... 3.29231169 0.97592645 1.22290708]]
86,/home/ubuntu/MEBeauty-database/images/male/mideastern/man-3057370_1920.jpg,3.5087500000000005,[[0.96884609 0.98484795 5.30004696 ... 6.31845066 0.79376656 0.92230364]]
87,/home/ubuntu/MEBeauty-database/images/female/asian/young-women-1281280_1920.jpg,3.5369406867845994,[[1.85425285 1.58607019 7.35367843 ... 1.79428206 2.55213831 1.38174917]]
88,/home/ubuntu/MEBeauty-database/images/female/asian/nathan-anderson-2nqji_XO20w-unsplash.jpg,3.539094650205761,[[1.03576731 1.02540688 4.82126429 ... 2.8213608  0.88975973 1.30461915]]
89,/home/ubuntu/MEBeauty-database/images/female/black/african-2942355_1920.jpg,3.5450928381962865,[[0.68208024 0.78083868 4.74341649 ... 2.76937429 0.53542786 0.95208875]]
90,/home/ubuntu/MEBeauty-database/images/male/indian/md-duran-msnDjv5cC_U-unsplash.jpg,3.550548245614036,[[1.12834641 1.08071072 4.75732395 ... 2.93120887 1.02907125 1.11095761]]
91,/home/ubuntu/MEBeauty-database/images/male/indian/ilaya-raja-uX0yUOEYFFU-unsplash.jpg,3.5576339737108187,[[1.26856546 1.20562371 7.40278441 ... 2.91315748 1.23345211 1.15317445]]
92,/home/ubuntu/MEBeauty-database/images/male/black/people-3247352_1920.jpg,3.5622103386809267,[[0.61572633 0.72652729 4.91661885 ... 2.0756196  0.58834841 0.68187775]]
93,/home/ubuntu/MEBeauty-database/images/male/caucasian/carlos-macias-UWRTZRwPLyg-unsplash.jpg,3.566996536368134,[[1.44041571 1.30681148 6.79490255 ... 3.77062807 1.48287994 1.20064618]]
94,/home/ubuntu/MEBeauty-database/images/male/mideastern/man-355612_1920.jpg,3.568480300187617,[[0.63765296 0.71151181 7.2690099  ... 4.44457213 0.55626437 0.5       ]]
95,/home/ubuntu/MEBeauty-database/images/female/caucasian/marisa-harris-b95_M23cIXA-unsplash.jpg,3.571428571428571,[[1.10255098 1.06209827 5.19240853 ... 2.90549933 1.19288431 0.92804378]]
96,/home/ubuntu/MEBeauty-database/images/male/caucasian/man-61004_1920.jpg,3.5831790123456795,[[0.97689658 0.97307661 9.20515109 ... 2.50112475 0.76857415 0.9144539 ]]
97,/home/ubuntu/MEBeauty-database/images/male/asian/fahmi-anwar-dBtBDtiM780-unsplash.jpg,3.6049382716049374,[[0.9956885  0.99739963 5.88348405 ... 3.68509507 0.9309157  1.09598806]]
98,/home/ubuntu/MEBeauty-database/images/male/indian/theodore-goutas-aeq3jJj0sUw-unsplash.jpg,3.6052631578947367,"[[ 0.63004728  0.68001838 11.4366031  ...  3.64312802  0.58640103
   0.81702541]]"
99,/home/ubuntu/MEBeauty-database/images/male/caucasian/model-4759613_1920.jpg,3.612091333679294,[[0.58782505 0.67095    7.40585973 ... 2.92836031 0.57088934 0.66406597]]
100,/home/ubuntu/MEBeauty-database/images/male/mideastern/ashkan-forouzani-dz0C0Zv5QvM-unsplash.jpg,3.6169819078947367,[[1.06796652 1.05086704 7.18890311 ... 3.29231169 0.97592645 1.22290708]]
101,/home/ubuntu/MEBeauty-database/images/female/black/pexels-mwabonje-2680369.jpg,3.625,[[0.78059132 0.85555017 4.33700951 ... 1.91756215 0.86474714 0.97138034]]
102,/home/ubuntu/MEBeauty-database/images/male/mideastern/wilfred-sequeira-tXNjCm4bN8Y-unsplash.jpg,3.641025641025641,[[0.97709739 0.98107235 8.60594354 ... 3.88312763 0.9982259  1.19880848]]
103,/home/ubuntu/MEBeauty-database/images/female/caucasian/woman-2635404_1920.jpg,3.655172413793104,[[1.24462419 1.16465344 5.68782266 ... 3.69420139 1.01285517 1.45288751]]
104,/home/ubuntu/MEBeauty-database/images/female/mideastern/mosoianu-bogdan-eY1_nQs9aNI-unsplash.jpg,3.655172413793104,[[0.99177047 0.99427388 5.14384184 ... 4.70669702 0.93349201 1.09515867]]
105,/home/ubuntu/MEBeauty-database/images/male/black/joshua-rodriguez-3H4PToAVncA-unsplash.jpg,3.663157894736842,[[0.5858302  0.72009635 4.32177947 ... 2.21464879 0.64392092 0.69506526]]
106,/home/ubuntu/MEBeauty-database/images/female/indian/woman-5922147_1920.jpg,3.6666666666666665,[[1.41482551 1.30772641 7.75322235 ... 2.38521617 1.24485855 1.34437326]]
107,/home/ubuntu/MEBeauty-database/images/male/black/pexels-tom-leishman-5255326.jpg,3.666666666666667,[[1.054678   1.03625206 4.42301022 ... 3.64852308 1.05892565 1.04325725]]
108,/home/ubuntu/MEBeauty-database/images/male/mideastern/pexels-pixabay-35539.jpg,3.666666666666667,[[0.95329887 0.97080907 4.97478807 ... 2.89236872 0.84551339 1.10522467]]
109,/home/ubuntu/MEBeauty-database/images/male/asian/pexels-saul-joseph-2846602.jpg,3.666666666666667,[[1.09503197 1.07381615 6.56569283 ... 2.31139064 1.28152234 1.16490314]]
110,/home/ubuntu/MEBeauty-database/images/male/black/pexels-macharia-edson-2914149.jpg,3.666666666666667,[[0.98343198 0.9888331  7.41351968 ... 2.4189106  1.02548756 1.25080221]]
111,/home/ubuntu/MEBeauty-database/images/male/caucasian/jake-nebov-aFNzgYOM560-unsplash.jpg,3.678258145363408,[[0.7151013  0.79042327 5.34123399 ... 2.65245225 0.89264712 0.70681036]]
112,/home/ubuntu/MEBeauty-database/images/male/asian/man-2702805_1920.jpg,3.6839215686274502,[[1.03499243 1.02451051 5.76862436 ... 6.60075753 0.9568328  0.9309193 ]]
113,/home/ubuntu/MEBeauty-database/images/female/indian/sylvester-dsouza-LAprsXXH-Nc-unsplash.jpg,3.6842105263157885,[[1.08163013 1.06126975 6.36616054 ... 2.44900484 1.11104517 1.34659151]]
114,/home/ubuntu/MEBeauty-database/images/male/indian/imansyah-muhamad-putera-Ob19pmoYWkI-unsplash.jpg,3.6859504132231407,[[0.74340761 0.81824714 5.25806922 ... 3.24740893 0.70007272 0.88827254]]
115,/home/ubuntu/MEBeauty-database/images/male/caucasian/113.jpg,3.6866776315789473,"[[ 0.97156118  0.97555357 10.60373946 ...  5.66205118  0.8568103
   1.04215316]]"
116,/home/ubuntu/MEBeauty-database/images/female/caucasian/mature-857525_1920.jpg,3.7053571428571432,[[0.74141259 0.82796081 4.39167727 ... 2.87405921 0.62107786 0.94571094]]
117,/home/ubuntu/MEBeauty-database/images/male/asian/monk-186094_1920.jpg,3.70637171487994,[[0.98481245 0.9925995  4.47424496 ... 3.51596982 0.92845289 0.95185449]]
118,/home/ubuntu/MEBeauty-database/images/male/asian/the-landscape-3245475_1920.jpg,3.7183979974968713,[[0.94129135 0.96323623 5.68685745 ... 2.5620114  0.97957713 0.97852063]]
119,/home/ubuntu/MEBeauty-database/images/male/mideastern/ashkan-forouzani-HF-pfqi3Cxk-unsplash.jpg,3.7196382428940566,"[[ 1.18755077  1.15093297 10.04987562 ...  3.93002824  1.10369963
   1.21040222]]"
120,/home/ubuntu/MEBeauty-database/images/male/black/esteban-castle-FULkoZ989E4-unsplash.jpg,3.731578947368421,[[1.02936978 1.02379569 5.34520014 ... 2.48195485 1.00263803 1.12206732]]
121,/home/ubuntu/MEBeauty-database/images/male/hispanic/face-3265605_1920.jpg,3.7368627450980383,[[2.15347069 1.78798116 7.81044932 ... 7.424793   2.12957807 2.21530755]]
122,/home/ubuntu/MEBeauty-database/images/male/black/brian-lundquist-oqfSpGiS42w-unsplash.jpg,3.746353496353496,[[1.70864909 1.41628096 4.92698898 ... 1.93954399 1.25657802 1.73346185]]
123,/home/ubuntu/MEBeauty-database/images/male/caucasian/noah-blaine-clark-d8OX1jeN5Ac-unsplash.jpg,3.75,[[1.0038123  1.00225861 8.34496279 ... 4.40415165 0.93529068 0.96696957]]
124,/home/ubuntu/MEBeauty-database/images/male/mideastern/portrait-2529904_1920.jpg,3.7511111111111113,[[1.12810554 1.09738954 7.63421574 ... 4.24426112 1.24246941 1.40517054]]
125,/home/ubuntu/MEBeauty-database/images/male/asian/human-2538246_1920.jpg,3.751746031746032,[[0.74844877 0.79496386 9.53127862 ... 3.57138308 0.60804283 0.53624227]]
126,/home/ubuntu/MEBeauty-database/images/male/caucasian/portrait-2501866_1920.jpg,3.751906318082789,[[0.8795436  0.90634254 5.3067189  ... 2.78725803 0.96532163 0.92549275]]
127,/home/ubuntu/MEBeauty-database/images/male/black/man-2607437_1920.jpg,3.7522448979591836,[[1.28798108 1.17607357 4.5969758  ... 3.29464282 1.11457079 1.16322975]]
128,/home/ubuntu/MEBeauty-database/images/male/indian/couple-engagement-pictures-2136097_1920.jpg,3.766122381659245,[[1.2243654  1.1584506  6.53545245 ... 3.09321079 0.99906072 1.52665005]]
129,/home/ubuntu/MEBeauty-database/images/male/mideastern/shoaeb-hameed-kEfO2edX4Gg-unsplash.jpg,3.7684210526315782,"[[ 0.90148978  0.9056282  10.55207759 ...  3.36540738  0.93834851
   0.89197558]]"
130,/home/ubuntu/MEBeauty-database/images/male/mideastern/mauro-paillex-moDxmttUP00-unsplash.jpg,3.772389905987136,[[0.86696066 0.90255674 6.16375399 ... 4.96417184 0.80588952 0.93172287]]
131,/home/ubuntu/MEBeauty-database/images/male/caucasian/lorene-farrugia-UJLAMjEjISo-unsplash.jpg,3.776719576719577,[[1.05364986 1.03856746 6.27010042 ... 3.03678154 0.82123646 1.23866494]]
132,/home/ubuntu/MEBeauty-database/images/male/mideastern/pexels-hussein-altameemi-1678821.jpg,3.7777777777777777,[[1.14198758 1.09557105 5.29042093 ... 2.80573366 1.11184919 1.43060184]]
133,/home/ubuntu/MEBeauty-database/images/male/asian/fikran-jabbart-dZ6SQ0d-IVc-unsplash.jpg,3.7777777777777777,[[1.83160806 1.51012598 5.52342256 ... 2.03882435 1.80489388 1.77316237]]
134,/home/ubuntu/MEBeauty-database/images/male/black/pexels-rafael-freire-5714735.jpg,3.7777777777777777,[[0.89701927 0.92604856 5.73933004 ... 2.27659574 0.78379542 0.96370601]]
135,/home/ubuntu/MEBeauty-database/images/male/black/pexels-cottonbro-6626360.jpg,3.7777777777777777,[[0.83975282 0.87686941 6.9980572  ... 2.57254008 0.81968093 0.96253848]]
136,/home/ubuntu/MEBeauty-database/images/female/caucasian/daniil-kuzelev-AkGd_YB6Q2c-unsplash.jpg,3.778393351800554,[[1.0623802  1.04226656 4.4611793  ... 3.17549309 0.98431774 1.30379552]]
